adminDB,title,extent
0012_004267_000108,"Tennessee farm and home science, progress report 128, October - December 1983",20 pages
0012_004267_000109,"Tennessee farm and home science, progress report 130, April - June 1984",16 pages
0012_004267_000110,"Tennessee farm and home science, progress report 131, July - September 1984",12 pages
0012_004267_000111,"Tennessee farm and home science, progress report 132, October - December 1984",12 pages
0012_004267_000112,"Tennessee farm and home science, progress report 133, January - March 1985",16 pages
0012_004267_000113,"Tennessee farm and home science, progress report 134, April - June 1985",24 pages
0012_004267_000114,"Tennessee farm and home science, progress report 135, July - September 1985",24 pages
0012_004267_000115,"Tennessee farm and home science, progress report 136, October - December 1985",36 pages
0012_004267_000116,"Tennessee farm and home science, progress report 137, January - March 1986",24 pages
0012_004267_000117,"Tennessee farm and home science, progress report 138, April - June 1986",24 pages
0012_004267_000118,"Tennessee farm and home science, progress report 139, July - September 1986",20 pages
0012_004267_000119,"Tennessee farm and home science, progress report 140, October - December 1986",16 pages
0012_004267_000120,"Tennessee farm and home science, progress report 141, January - March 1987",24 pages
0012_004267_000121,"Tennessee farm and home science, progress report 142, April - June 1987",24 pages
0012_004267_000122,"Tennessee farm and home science, progress report 143, July - September 1987",24 pages
0012_004267_000123,"Tennessee farm and home science, progress report 144, October - December 1987",44 pages
0012_004267_000124,"Tennessee farm and home science, progress report 145, January - March 1988",20 pages
0012_004267_000125,"Tennessee farm and home science, progress report 146, April - June 1988",24 pages
0012_004267_000126,"Tennessee farm and home science, progress report 147, July - September 1988",24 pages
0012_004267_000127,"Tennessee farm and home science, progress report 148, October - December 1988",24 pages
0012_004267_000128,"Tennessee farm and home science, progress report 149, January - March 1989",24 pages
0012_004267_000129,"Tennessee farm and home science, progress report 150, April - June 1989",32 pages
0012_004267_000130,"Tennessee farm and home science, progress report 151, July - September 1989",28 pages
0012_004267_000131,"Tennessee farm and home science, progress report 152, October - December 1989",52 pages
0012_004267_000132,"Tennessee farm and home science, progress report 153, January - March 1990",28 pages
0012_004267_000133,"Tennessee farm and home science, progress report 154, April - June 1990",28 pages
0012_004267_000134,"Tennessee farm and home science, progress report 155, July - September 1990",32 pages
0012_004267_000135,"Tennessee farm and home science, progress report 156, October - December 1990",32 pages
